trial_id,event_start_ns,event,error
1,335446792133,0,0
2,335452809141,1,0
3,335457993119,1,0
4,335463155843,1,0
5,335468305794,1,0
6,335473475782,1,0
7,335478698248,1,0
8,335483876725,1,0
9,335489161226,0,0
10,335494906511,0,0
11,335500542095,1,0
12,335505876187,1,0
13,335511084734,1,0
14,335516296085,0,0
15,335521839270,1,0
16,335527200978,0,0
17,335532748250,0,0
18,335538618120,1,0
19,335544023244,1,0
20,335549166888,0,0
21,335554912349,0,0
22,335560575803,0,0
23,335566171622,1,0
24,335571360357,0,0
25,335577123300,0,0
26,335582924302,0,0
27,335588796299,0,0
28,335594467351,0,0
29,335600084164,1,0
30,335605925455,1,0
31,335611152705,1,0
32,335616566047,1,0
33,335621741395,0,0
34,335627748587,1,0
35,335633119897,1,0
36,335638284740,1,0
37,335643387706,0,0
38,335648912733,0,0
39,335654577670,0,0
40,335660179580,1,0
41,335665315895,1,0
42,335670472572,0,0
43,335676072912,0,0
44,335682018150,0,0
45,335687592837,1,0
46,335692959616,0,0
47,335698470781,0,0
48,335703948358,1,0
49,335709168545,0,0
50,335714858854,0,0
51,335720372940,0,0
52,335726108260,1,0
53,335731306768,1,0
54,335736468997,0,0
55,335742106716,0,0
56,335747824671,0,0
57,335753315216,0,0
58,335758932140,0,0
59,335764536163,1,0
60,335769685755,0,0
61,335775212642,0,0
62,335780735230,0,0
63,335786300219,1,0
64,335791524610,1,0
65,335796723920,1,0
66,335802080694,1,0
67,335807312698,1,0
68,335812618153,1,0
69,335817894907,1,0
70,335823067291,0,0
71,335828789987,0,0
72,335834370455,1,0
73,335839628581,0,0
74,335845227766,0,0
75,335850916025,1,0
76,335856067383,1,0
77,335861257549,0,0
78,335867110695,1,0
79,335872055604,0,0
80,335877846682,1,0
81,335883060023,0,0
82,335888666263,0,0
83,335894319324,0,0
84,335900169542,0,0
85,335905396699,0,0
86,335910857762,0,0
87,335916393771,0,0
88,335922095157,1,0
89,335927113031,0,0
90,335932775154,1,0
91,335937899011,1,0
92,335943042141,0,0
93,335948754675,0,0
94,335954649462,0,0
95,335960321512,0,0
96,335966080291,0,0
97,335971614840,1,0
98,335976949456,0,0
99,335982616650,1,0
100,335987735092,1,0
101,335993053956,1,0
102,335998151699,1,0
103,336003241017,0,0
104,336008795860,1,0
105,336014075663,1,0
106,336019251575,0,0
107,336024863349,1,0
108,336030030215,1,0
109,336035287503,1,0
110,336040388510,1,0
111,336045639382,0,0
112,336051238277,0,0
113,336056906749,0,0
114,336062554270,1,0
115,336067798314,1,0
116,336072975448,1,0
117,336078127116,0,0
118,336083843868,1,0
119,336089074359,1,0
120,336094183356,0,0
121,336099792199,0,0
122,336105251077,1,0
123,336110429224,0,0
124,336116134097,0,0
125,336121360482,0,0
126,336127065076,1,0
127,336132231218,1,0
128,336137490734,1,0
129,336142784423,0,0
130,336148378552,1,0
131,336153720928,1,0
132,336158990528,1,0
133,336164125662,1,0
134,336169259113,0,0
135,336174847118,0,0
136,336180420498,1,0
137,336185577355,0,0
138,336190867036,1,0
139,336196014649,0,0
140,336201401334,1,0
141,336206496133,1,0
142,336211636709,0,0
143,336217223893,0,0
144,336222794189,1,0
145,336227958068,0,0
146,336233626178,1,0
147,336238764100,0,0
148,336244248561,0,0
149,336249823364,0,0
150,336255741941,1,0
151,336260934646,1,0
152,336266051302,1,0
153,336271265550,1,0
154,336276539001,1,0
155,336281814686,1,0
