trial_id,timestamp_ns,prediction
1,629905290893,0
2,629978648534,1
3,630052049234,0
4,630126517059,1
5,630200771669,0
6,630275105691,0
7,630349749465,1
8,630429597116,0
9,630503767538,0
10,630577258331,1
11,630650519980,0
12,630723185395,0
13,630800110019,0
14,630875814546,1
15,630952164433,0
16,631029704400,0
17,631109329278,1
18,631187804037,1
19,631264169214,0
20,631341239371,1
21,631421473905,0
22,631499328133,0
23,631574511160,1
24,631655913799,1
25,631731865806,1
26,631807779815,0
27,631882424737,1
28,631956110377,1
29,632028961582,1
30,632100668783,0
31,632175708128,1
32,632248593353,1
33,632319989497,1
34,632393721862,1
35,632466191608,1
36,632542184524,1
37,632615598329,0
38,632691765933,0
39,632768459394,1
40,632844988319,0
41,632922976873,0
42,633000145309,0
43,633080374975,1
44,633160762026,0
45,633238494177,0
46,633313678128,0
47,633391266323,0
48,633468939328,0
49,633546156714,1
50,633622518501,1
51,633699242942,1
52,633777217896,0
53,633851793638,0
54,633926247222,1
55,634006304146,0
56,634083552200,0
57,634156501948,0
58,634233908876,0
59,634306517497,1
60,634381917117,1
61,634455968917,0
62,634529125271,0
63,634604047962,1
64,634680694712,1
65,634755689920,0
66,634833960830,0
67,634909620019,1
68,634984584169,0
69,635058242148,0
70,635136156556,1
71,635215322923,0
72,635292078050,0
73,635370802134,1
74,635449981661,0
75,635531326419,1
76,635607060307,1
77,635688069742,0
78,635764871434,0
79,635839245295,1
80,635913445903,0
81,635987598249,0
82,636059230428,1
83,636136337819,1
84,636207711417,0
85,636280094288,0
86,636355018283,1
87,636428771751,0
88,636500964320,1
89,636573800828,0
90,636647248608,1
91,636719321810,0
92,636797249554,1
93,636872756416,0
94,636949679233,1
95,637026664415,1
96,637105238498,1
97,637184642963,0
98,637260898298,1
99,637338265628,0
100,637413452244,1
101,637492452798,1
102,637567931555,0
103,637648843657,1
104,637727294337,0
105,637809639363,0
106,637885439979,0
107,637965713162,1
108,638041100369,1
109,638113845079,1
110,638191915862,0
111,638264031931,0
112,638336729411,1
113,638411406878,0
114,638482291957,1
115,638554991724,0
116,638629808429,1
117,638700734426,1
118,638777706307,1
119,638853271018,1
120,638931389010,0
121,639006349594,1
122,639082205207,0
123,639159132076,0
124,639238873012,0
125,639314344850,1
126,639393062567,1
127,639470780433,1
128,639549128474,1
129,639620424250,1
130,639692050081,1
131,639768960796,1
132,639845387100,0
133,639919960343,0
134,639990149149,1
135,640062430492,0
136,640138625220,0
137,640213263382,0
138,640287529287,0
139,640360346805,1
140,640434140822,0
141,640510619911,0
142,640583289599,1
143,640656944957,0
144,640732182598,1
145,640807917840,1
146,640884789094,0
147,640959188936,0
148,641031079551,1
149,641108189260,1
150,641185539642,1
151,641265338392,1
152,641339095545,0
153,641416761592,0
154,641492788579,0
155,641570740106,0
156,641645284746,1
157,641719839627,1
158,641795239419,1
159,641871752358,0
160,641945316709,1
161,642019634672,0
162,642096228607,0
163,642171180566,0
164,642246352253,1
165,642322162498,0
166,642399844237,1
167,642471890283,1
168,642545106268,0
169,642622032850,1
170,642695337498,1
171,642772642184,1
172,642850580309,1
173,642923949623,0
174,643000396328,0
175,643076119520,0
176,643153259586,1
177,643233140991,0
178,643309704758,1
179,643386628874,0
180,643465104467,0
181,643543631710,1
182,643624800530,0
183,643701481278,0
184,643777546998,1
185,643861694784,0
186,643936751394,0
187,644008494217,1
188,644083465481,1
189,644158499386,1
190,644232157628,0
191,644303529460,1
192,644375946602,0
193,644448552882,1
194,644522022146,1
195,644594845295,1
196,644667643177,1
197,644739280205,1
198,644812705880,0
199,644893247254,1
200,644972558804,0
