trial_id,timestamp_ns,target_page,event,duration_ns,access_policy
163,672300395051,0,0,554089,constant
164,672377581217,0,1,525633,constant
165,672451535495,0,0,406980,constant
166,672527291451,0,1,444718,constant
167,672606879549,0,1,418486,constant
168,672678180311,0,0,371787,constant
169,672762194155,0,1,358747,constant
170,672836403091,0,1,531132,constant
171,672916559060,0,1,562649,constant
172,672992373066,0,1,552417,constant
173,673069976450,0,0,298223,constant
174,673145048885,0,0,545333,constant
175,673218989038,0,0,528791,constant
176,673302552657,0,1,480052,constant
177,673376991989,0,0,376518,constant
178,673454557448,0,1,472477,constant
179,673530117002,0,0,537631,constant
180,673606751613,0,0,559951,constant
181,673680596958,0,1,450295,constant
182,673755161060,0,0,376001,constant
183,673826768503,0,0,475450,constant
184,673900929118,0,1,558179,constant
185,673970518965,0,0,515535,constant
186,674041377686,0,0,526700,constant
187,674116192656,0,1,426137,constant
188,674186550513,0,1,499420,constant
189,674258355517,0,1,492388,constant
190,674332101100,0,0,479936,constant
191,674413827743,0,1,577543,constant
192,674488111462,0,0,619727,constant
193,674562166319,0,1,626572,constant
194,674636667628,0,1,564823,constant
195,674715157854,0,1,567997,constant
196,674790454555,0,1,729724,constant
197,674868576827,0,1,609018,constant
198,674942231999,0,0,398760,constant
199,675018805102,0,1,435683,constant
200,675093175691,0,0,674003,constant
