trial_id,event_start_ns,event,error
1,497319522743,0,0
2,497325188103,1,0
3,497330602869,1,0
4,497335751091,1,0
5,497341031780,1,0
6,497346056788,1,0
7,497351214191,1,0
8,497356238928,1,0
9,497361291666,0,0
10,497366923815,0,0
11,497372536108,1,0
12,497377603012,1,0
13,497382703633,1,0
14,497387752988,0,0
15,497393241800,1,0
16,497398289034,0,0
17,497403740893,0,0
18,497409107278,1,0
19,497414206042,1,0
20,497419227117,0,0
21,497424759006,0,0
22,497430266772,0,0
23,497435773213,1,0
24,497440889872,0,0
25,497446268135,0,0
26,497451784043,0,0
27,497457172869,0,0
28,497462781901,0,0
29,497468138927,1,0
30,497473229243,1,0
31,497478219171,1,0
32,497483192176,1,0
33,497488215831,0,0
34,497493624500,1,0
35,497498720961,1,0
36,497503811923,1,0
37,497508896351,0,0
38,497514289080,0,0
39,497519597328,0,0
40,497524916045,1,0
41,497529969414,1,0
42,497535052171,0,0
43,497540477248,0,0
44,497546030347,0,0
45,497551578837,1,0
46,497556723084,0,0
47,497562450370,0,0
48,497568163526,1,0
49,497573247481,0,0
50,497578764360,0,0
51,497584265148,0,0
52,497589901571,1,0
53,497595031823,1,0
54,497600106517,0,0
55,497605974950,0,0
56,497611668657,0,0
57,497617427060,0,0
58,497623012621,0,0
59,497628559028,1,0
60,497633611273,0,0
61,497639423340,0,0
62,497645035415,0,0
63,497650597497,1,0
64,497655704667,1,0
65,497660785685,1,0
66,497666313191,1,0
67,497671552806,1,0
68,497676788804,1,0
69,497681924695,1,0
70,497687068167,0,0
71,497692540111,0,0
72,497698166090,1,0
73,497703338750,0,0
74,497708775181,0,0
75,497714192692,1,0
76,497719266167,1,0
77,497724322169,0,0
78,497729795467,1,0
79,497734957580,0,0
80,497740063347,1,0
81,497745224176,0,0
82,497750889902,0,0
83,497756495281,0,0
84,497762139779,0,0
85,497767721789,0,0
86,497773287568,0,0
87,497778986264,0,0
88,497784625448,1,0
89,497789717504,0,0
90,497795489898,1,0
91,497800563180,1,0
92,497805657617,0,0
93,497811125644,0,0
94,497816609063,0,0
95,497822158806,0,0
96,497827899775,0,0
97,497833617219,1,0
98,497838842665,0,0
99,497844450177,1,0
100,497849551322,1,0
101,497854665256,1,0
102,497859758865,1,0
103,497864883364,0,0
104,497870408747,1,0
105,497875487742,1,0
106,497880552056,0,0
107,497886182111,1,0
108,497891254074,1,0
109,497896312215,1,0
110,497901420712,1,0
111,497906588882,0,0
112,497912065542,0,0
113,497917757514,0,0
114,497923213590,1,0
115,497928267679,1,0
116,497933336491,1,0
117,497938422364,0,0
118,497943922045,1,0
119,497948946381,1,0
120,497954013255,0,0
121,497959488441,0,0
122,497965228721,1,0
123,497970266436,0,0
124,497975775275,0,0
125,497981294449,0,0
126,497986968617,1,0
127,497992052566,1,0
128,497997062012,1,0
129,498002217719,0,0
130,498008049143,1,0
131,498013154631,1,0
132,498018297699,1,0
133,498023524239,1,0
134,498028800716,0,0
135,498034531514,0,0
136,498040226383,1,0
137,498045227208,0,0
138,498050615256,1,0
139,498055787868,0,0
140,498061291046,1,0
141,498066334351,1,0
142,498071401014,0,0
143,498076995240,0,0
144,498082398978,1,0
145,498087537630,0,0
146,498093202893,1,0
147,498098241448,0,0
148,498103698738,0,0
149,498109446987,0,0
150,498115251511,1,0
151,498120406753,1,0
152,498125486777,1,0
153,498130631781,1,0
154,498135742521,1,0
155,498140846386,1,0
156,498145959089,1,0
157,498151047434,1,0
158,498156168808,1,0
159,498161236747,1,0
160,498166285500,0,0
161,498171806455,1,0
162,498176889185,0,0
163,498182118519,1,0
164,498187219156,0,0
165,498192657188,1,0
166,498197746334,1,0
167,498202828426,0,0
168,498208304222,1,0
169,498213364772,1,0
170,498218421357,1,0
171,498223475897,0,0
172,498228988258,1,0
173,498234046643,1,0
174,498239166885,0,0
175,498244494113,0,0
176,498249729758,1,0
177,498254800682,1,0
178,498259886295,0,0
179,498265354412,0,0
180,498270723665,1,0
181,498276032131,1,0
182,498281235410,1,0
183,498286341855,0,0
184,498292082393,1,0
185,498297552973,0,0
186,498303282779,1,0
187,498308536456,0,0
188,498314228002,0,0
189,498319833886,0,0
190,498325464596,1,0
191,498330595728,1,0
192,498335690794,1,0
193,498341034077,0,0
194,498346520406,0,0
195,498352052919,0,0
196,498357549771,1,0
197,498362600432,0,0
198,498368488830,1,0
199,498373582085,1,0
200,498378707134,0,0
