trial_id,timestamp_ns,prediction
1,614622797782,0
2,614697071655,1
3,614774581241,0
4,614851202442,0
5,614929647989,0
6,615006557006,0
7,615083637581,1
8,615164413677,0
9,615239972944,1
10,615315977302,1
11,615394465831,1
12,615472628036,1
13,615549786979,1
14,615627090266,1
15,615702689814,0
16,615775693634,0
17,615849408860,1
18,615924795153,1
19,615997278973,1
20,616069844528,0
21,616148510609,1
22,616223588418,0
23,616298846850,1
24,616377270392,0
25,616452875870,0
26,616527028799,1
27,616604572001,0
28,616684463700,1
29,616756832449,1
30,616833531984,1
31,616912946764,1
32,616989158480,0
33,617067373892,1
34,617147322369,0
35,617225334929,1
36,617304655784,0
37,617382542392,0
38,617461369695,0
39,617538505855,0
40,617615503807,1
41,617693752511,0
42,617771513666,1
43,617846775909,0
44,617918909588,1
45,617990833052,1
46,618064401154,1
47,618141946381,0
48,618216258274,0
49,618287469809,1
50,618359739509,1
51,618434531984,0
52,618508236657,0
53,618579280762,1
54,618650395939,0
55,618722757061,1
56,618798688559,0
57,618876262728,0
58,618951558627,0
59,619026030559,1
60,619102468284,1
61,619182701461,0
62,619261522407,0
63,619337374180,0
64,619413146540,0
65,619491251544,0
66,619568063878,1
67,619643913034,0
68,619721615718,0
69,619798356055,1
70,619874784878,1
71,619947692637,1
72,620021338763,0
73,620094637287,1
74,620170698270,1
75,620244265502,0
76,620316839098,0
77,620388622151,1
78,620461488212,0
79,620536646796,0
80,620610085941,0
81,620682969801,0
82,620760026998,0
83,620833412377,1
84,620910790130,0
85,620983099195,0
86,621061351569,1
87,621141778409,0
88,621218664345,0
89,621296361685,1
90,621374053409,0
91,621451908480,1
92,621527137901,0
93,621600134576,0
94,621675242620,0
95,621754576836,0
96,621830471871,1
97,621904486300,1
98,621980022500,0
99,622053561689,0
100,622130610428,1
101,622212197141,1
102,622288206151,1
103,622365055286,0
104,622438986336,0
105,622514152064,1
106,622586418742,0
107,622659121836,1
108,622732704948,0
109,622806138495,1
110,622881687819,1
111,622959379480,0
112,623036873069,0
113,623118158639,1
114,623199219073,1
115,623275214763,1
116,623349423087,0
117,623426044623,1
118,623506348822,0
119,623581590517,1
120,623654491481,0
121,623729818847,0
122,623804799707,1
123,623879735402,1
124,623952564797,0
125,624025484166,1
126,624099110304,1
127,624174144089,0
128,624245874255,1
129,624317715205,0
130,624390581646,1
131,624463621218,0
132,624535554457,1
133,624606315533,1
134,624677360563,0
135,624755701419,0
136,624835557331,0
137,624914949457,0
138,624992054146,1
139,625072630138,0
140,625153393670,0
141,625227338244,0
142,625306544069,0
143,625387557574,1
144,625468520644,0
145,625546284774,1
146,625619855204,0
147,625696352659,0
148,625775448409,0
149,625850982506,1
150,625928133449,1
151,626003476191,0
152,626077056633,1
153,626150836015,1
154,626223402936,1
155,626296783597,1
156,626372628101,1
157,626445353302,1
158,626518939746,0
159,626593504319,0
160,626671338560,1
161,626749850628,1
162,626830780363,0
163,626909523280,1
164,626989229303,1
165,627068334478,0
166,627153099064,1
167,627230265582,1
168,627303949181,1
169,627374563893,0
170,627443479439,1
171,627517738279,1
172,627601117635,1
173,627676921422,1
174,627754485185,1
175,627831019060,0
176,627909156885,0
177,627983121907,1
178,628055896488,0
179,628133995160,1
180,628208435231,0
181,628282764830,1
182,628354063160,1
183,628425622834,1
184,628496496645,1
185,628568186796,1
186,628641504058,1
187,628716800287,1
188,628791833675,1
189,628866118767,1
190,628940085572,0
191,629021350673,1
192,629101766952,1
193,629180565875,1
194,629256606301,0
195,629332787742,1
196,629408934277,0
197,629485740921,0
198,629561277442,0
199,629638272994,0
200,629713458272,1
