mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
flush,hit,69,252,584,836,0,1
flush,miss,70,2327,10791,13118,56,1
flush,hit,70,244,516,760,0,1
flush,miss,71,2489,15319,17808,50,1
flush,hit,71,268,547,815,0,1
flush,miss,72,2511,13762,16273,45,1
flush,hit,72,246,573,819,0,1
flush,miss,73,2315,11154,13469,58,1
flush,hit,73,251,539,790,0,1
flush,miss,74,2368,12240,14608,65,1
flush,hit,74,252,516,768,0,1
flush,miss,75,2535,11381,13916,58,1
flush,hit,75,252,529,781,0,1
flush,miss,76,2500,10881,13381,55,1
flush,hit,76,289,731,1020,0,1
flush,miss,77,2894,14902,17796,49,1
flush,hit,77,365,802,1167,0,1
flush,miss,78,2510,11227,13737,58,1
flush,hit,78,283,605,888,0,1
flush,miss,79,4499,13635,18134,75,1
flush,hit,79,257,557,814,0,1
flush,miss,80,2143,12980,15123,71,1
flush,hit,80,249,550,799,0,1
flush,miss,81,2417,9910,12327,52,1
flush,hit,81,248,543,791,0,1
flush,miss,82,2263,39485,41748,231,1
flush,hit,82,338,792,1130,0,1
flush,miss,83,2789,11523,14312,58,1
flush,hit,83,337,738,1075,0,1
flush,miss,84,2335,76476,78811,451,1
flush,hit,84,267,586,853,0,1
flush,miss,85,2758,13023,15781,69,1
flush,hit,85,323,815,1138,0,1
flush,miss,86,2167,11257,13424,59,1
flush,hit,86,255,534,789,0,1
flush,miss,87,2549,11307,13856,59,1
flush,hit,87,261,547,808,0,1
flush,miss,88,2363,14522,16885,49,1
flush,hit,88,323,773,1096,0,1
flush,miss,89,2521,11441,13962,59,1
flush,hit,89,264,628,892,0,1
flush,miss,90,2302,11097,13399,58,1
flush,hit,90,257,519,776,0,1
flush,miss,91,2312,9852,12164,50,1
flush,hit,91,249,531,780,0,1
flush,miss,92,2329,10278,12607,53,1
flush,hit,92,252,524,776,0,1
flush,miss,93,2544,13146,15690,44,1
flush,hit,93,248,530,778,0,1
flush,miss,94,2432,11818,14250,40,1
flush,hit,94,262,541,803,0,1
flush,miss,95,2476,10856,13332,56,1
flush,hit,95,256,527,783,0,1
flush,miss,96,2338,12599,14937,67,1
flush,hit,96,274,517,791,0,1
flush,miss,97,2534,10466,13000,54,1
flush,hit,97,251,525,776,0,1
flush,miss,98,2335,10261,12596,53,1
flush,hit,98,253,511,764,0,1
flush,miss,99,2782,12212,14994,41,1
flush,hit,99,322,770,1092,0,1
flush,miss,100,2460,10857,13317,56,1
flush,hit,100,301,550,851,0,1
flush,miss,101,2490,12160,14650,64,1
flush,hit,101,259,550,809,0,1
flush,miss,102,2180,11787,13967,50,1
flush,hit,102,258,1463,1721,0,1
flush,miss,103,2961,11626,14587,59,1
flush,hit,103,339,782,1121,0,1
flush,miss,104,2355,48361,50716,279,1
flush,hit,104,356,974,1330,0,1
flush,miss,105,2970,11112,14082,56,1
flush,hit,105,302,813,1115,0,1
flush,miss,106,2633,13291,15924,70,1
flush,hit,106,262,621,883,0,1
flush,miss,107,2388,12952,15340,69,1
flush,hit,107,256,555,811,0,1
flush,miss,108,2131,11087,13218,58,1
flush,hit,108,254,537,791,0,1
flush,miss,109,2510,46525,49035,271,1
flush,hit,109,264,612,876,0,1
flush,miss,110,2315,15545,17860,57,1
flush,hit,110,327,875,1202,0,1
flush,miss,111,2644,14176,16820,76,1
flush,hit,111,272,659,931,0,1
flush,miss,112,2325,11149,13474,58,1
flush,hit,112,253,548,801,0,1
flush,miss,113,2539,10821,13360,56,1
flush,hit,113,273,583,856,0,1
flush,miss,114,2297,11147,13444,58,1
flush,hit,114,252,533,785,0,1
flush,miss,115,2496,16120,18616,51,1
flush,hit,115,254,524,778,0,1
flush,miss,116,2507,13676,16183,45,1
flush,hit,116,267,601,868,0,1
