mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,850,1,0,0,497317512457,497317519395,497319522743,497320326824,497320920179,497318508451,497318520502,0,0,0,0,0
dontcache,7.2.0-flushmon,850,2,1,1,497323217853,497323218748,497325188103,497326184096,497326276404,497324184609,497324186677,0,0,0,0,0
dontcache,7.2.0-flushmon,850,3,1,1,497328598611,497328599618,497330602869,497331478573,497331570723,497329602335,497329604659,0,0,0,0,0
dontcache,7.2.0-flushmon,850,4,1,1,497333755240,497333756166,497335751091,497336744061,497336829905,497334751729,497334753620,0,0,0,0,0
dontcache,7.2.0-flushmon,850,5,1,1,497339142553,497339146816,497341031780,497341854675,497341919233,497340056180,497340060443,0,0,0,0,0
dontcache,7.2.0-flushmon,850,6,1,1,497344130407,497344132030,497346056788,497346973413,497347052831,497345097525,497345101429,0,0,0,0,0
dontcache,7.2.0-flushmon,850,7,1,1,497349238931,497349239646,497351214191,497352021214,497352066256,497350210386,497350213052,0,0,0,0,0
dontcache,7.2.0-flushmon,850,8,1,1,497354266416,497354267078,497356238928,497357053273,497357100728,497355236963,497355239193,0,0,0,0,0
dontcache,7.2.0-flushmon,850,9,0,0,497359325925,497359328174,497361291666,497362141363,497362694708,497360290131,497360294217,0,0,0,0,0
dontcache,7.2.0-flushmon,850,10,0,0,497364928824,497364929605,497366923815,497367945582,497368308590,497365898898,497365901160,0,0,0,0,0
dontcache,7.2.0-flushmon,850,11,1,1,497370904353,497370912672,497372536108,497373358182,497373437101,497371541808,497371560161,0,0,0,0,0
dontcache,7.2.0-flushmon,850,12,1,1,497375661248,497375665197,497377603012,497378462184,497378550362,497376604997,497376618027,0,0,0,0,0
dontcache,7.2.0-flushmon,850,13,1,1,497380743751,497380747500,497382703633,497383569409,497383607661,497381712459,497381720431,0,0,0,0,0
dontcache,7.2.0-flushmon,850,14,0,0,497385786683,497385787270,497387752988,497388602694,497389080244,497386755688,497386758372,0,0,0,0,0
dontcache,7.2.0-flushmon,850,15,1,1,497391272628,497391274833,497393241800,497394084224,497394134236,497392240391,497392246440,0,0,0,0,0
dontcache,7.2.0-flushmon,850,16,0,0,497396318853,497396319763,497398289034,497399137129,497399553590,497397285532,497397287194,0,0,0,0,0
dontcache,7.2.0-flushmon,850,17,0,0,497401780117,497401781313,497403740893,497404590847,497404897644,497402733553,497402735445,0,0,0,0,0
dontcache,7.2.0-flushmon,850,18,1,1,497407134117,497407134869,497409107278,497409977463,497410050934,497408110819,497408113904,0,0,0,0,0
dontcache,7.2.0-flushmon,850,19,1,1,497412252669,497412255294,497414206042,497415043989,497415079620,497413211426,497413213741,0,0,0,0,0
dontcache,7.2.0-flushmon,850,20,0,0,497417249363,497417249858,497419227117,497420046026,497420544191,497418222426,497418224042,0,0,0,0,0
dontcache,7.2.0-flushmon,850,21,0,0,497422771410,497422772393,497424759006,497425600510,497426085517,497423743309,497423745648,0,0,0,0,0
dontcache,7.2.0-flushmon,850,22,0,0,497428303252,497428304588,497430266772,497431116302,497431573230,497429276066,497429278968,0,0,0,0,0
