mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
dontcache,miss,63,2960,17728,20688,100,1
dontcache,hit,63,270,979,1249,0,1
dontcache,miss,64,2811,15230,18041,79,1
dontcache,hit,64,258,547,805,0,1
dontcache,miss,65,3783,12677,16460,69,1
dontcache,hit,65,255,991,1246,0,1
dontcache,miss,66,6676,13908,20584,74,1
dontcache,hit,66,266,1028,1294,0,1
dontcache,miss,67,2649,43324,45973,248,1
dontcache,hit,67,242,564,806,0,1
dontcache,miss,68,2516,12780,15296,70,1
dontcache,hit,68,241,649,890,0,1
dontcache,miss,69,3364,41843,45207,246,1
dontcache,hit,69,239,551,790,0,1
dontcache,miss,70,2475,12109,14584,66,1
dontcache,hit,70,250,580,830,0,1
dontcache,miss,71,2452,31687,34139,183,1
dontcache,hit,71,250,562,812,0,1
dontcache,miss,72,4331,22445,26776,93,1
dontcache,hit,72,262,576,838,0,1
dontcache,miss,73,3205,17620,20825,99,1
dontcache,hit,73,256,787,1043,0,1
dontcache,miss,74,2378,17028,19406,95,1
dontcache,hit,74,256,535,791,0,1
dontcache,miss,75,2877,19700,22577,110,1
dontcache,hit,75,269,552,821,0,1
dontcache,miss,76,3653,32213,35866,187,1
dontcache,hit,76,253,519,772,0,1
dontcache,miss,77,2626,18074,20700,101,1
dontcache,hit,77,257,518,775,0,1
dontcache,miss,78,2711,17999,20710,102,1
dontcache,hit,78,269,555,824,0,1
dontcache,miss,79,2564,18551,21115,105,1
dontcache,hit,79,250,529,779,0,1
dontcache,miss,80,2270,15840,18110,88,1
dontcache,hit,80,251,526,777,0,1
dontcache,miss,81,2625,18194,20819,102,1
dontcache,hit,81,250,538,788,0,1
dontcache,miss,82,2125,14615,16740,81,1
dontcache,hit,82,255,524,779,0,1
dontcache,miss,83,4061,18020,22081,99,1
dontcache,hit,83,255,527,782,0,1
dontcache,miss,84,2367,12895,15262,71,1
dontcache,hit,84,252,525,777,0,1
dontcache,miss,85,6985,17684,24669,97,1
dontcache,hit,85,261,799,1060,0,1
dontcache,miss,86,2934,54665,57599,312,1
dontcache,hit,86,267,582,849,0,1
dontcache,miss,87,3694,56429,60123,318,1
dontcache,hit,87,263,562,825,0,1
dontcache,miss,88,2750,19351,22101,98,1
dontcache,hit,88,262,544,806,0,1
dontcache,miss,89,2451,23674,26125,137,1
dontcache,hit,89,245,549,794,0,1
dontcache,miss,90,3981,11431,15412,62,1
dontcache,hit,90,283,609,892,0,1
dontcache,miss,91,2472,49958,52430,294,1
dontcache,hit,91,269,550,819,0,1
dontcache,miss,92,2283,10967,13250,59,1
dontcache,hit,92,249,564,813,0,1
dontcache,miss,93,2517,11002,13519,59,1
dontcache,hit,93,250,562,812,0,1
dontcache,miss,94,2353,10813,13166,58,1
dontcache,hit,94,248,547,795,0,1
dontcache,miss,95,2484,10900,13384,59,1
dontcache,hit,95,247,529,776,0,1
dontcache,miss,96,2306,10326,12632,55,1
dontcache,hit,96,246,535,781,0,1
dontcache,miss,97,2459,9842,12301,52,1
dontcache,hit,97,245,546,791,0,1
dontcache,miss,98,2353,12081,14434,66,1
dontcache,hit,98,246,546,792,0,1
dontcache,miss,99,2494,10935,13429,59,1
dontcache,hit,99,249,541,790,0,1
dontcache,miss,100,2318,10960,13278,59,1
dontcache,hit,100,248,544,792,0,1
dontcache,miss,101,2540,10790,13330,58,1
dontcache,hit,101,248,527,775,0,1
dontcache,miss,102,2336,10417,12753,44,1
dontcache,hit,102,252,1587,1839,0,1
dontcache,miss,103,2481,11165,13646,60,1
dontcache,hit,103,245,559,804,0,1
dontcache,miss,104,2404,10400,12804,56,1
dontcache,hit,104,251,545,796,0,1
dontcache,miss,105,2485,10006,12491,53,1
dontcache,hit,105,244,549,793,0,1
dontcache,miss,106,2303,9399,11702,50,1
dontcache,hit,106,249,533,782,0,1
dontcache,miss,107,2511,10699,13210,57,1
dontcache,hit,107,244,533,777,0,1
dontcache,miss,108,2260,10713,12973,58,1
dontcache,hit,108,245,525,770,0,1
dontcache,miss,109,2493,10589,13082,57,1
dontcache,hit,109,246,547,793,0,1
dontcache,miss,110,2393,14602,16995,57,1
