trial_id,timestamp_ns,target_page,event,duration_ns,access_policy
1,644801104238,0,0,309,normal
2,644877462029,0,1,528882,normal
3,644953831168,0,0,282,normal
4,645028470415,0,1,729242,normal
5,645103341775,0,0,231,normal
6,645178400086,0,0,293,normal
7,645254913766,0,1,319166,normal
8,645335486248,0,0,276,normal
9,645406812403,0,0,370,normal
10,645482378344,0,1,377931,normal
11,645556823105,0,0,411,normal
12,645631488784,0,0,288,normal
13,645702551457,0,0,268,normal
14,645778637872,0,1,427536,normal
15,645852453714,0,0,318,normal
16,645923659002,0,0,238,normal
17,645995173045,0,1,288294,normal
18,646068476830,0,1,503833,normal
19,646141265494,0,0,368,normal
20,646215037331,0,1,485793,normal
21,646289564328,0,0,444,normal
22,646364304459,0,0,283,normal
23,646440522615,0,1,470822,normal
24,646515856373,0,1,526847,normal
25,646597490962,0,1,416249,normal
26,646664890408,0,0,411,normal
27,646739314509,0,1,371053,normal
28,646816818782,0,1,421710,normal
29,646894720092,0,1,575702,normal
30,646965401585,0,0,215,normal
31,647046364473,0,1,464854,normal
32,647118538181,0,1,505811,normal
33,647194083420,0,1,598488,normal
34,647268620378,0,1,407058,normal
35,647353251211,0,1,408504,normal
36,647432632111,0,1,657648,normal
37,647503922768,0,0,260,normal
38,647577638992,0,0,326,normal
39,647650698647,0,1,626621,normal
40,647724061820,0,0,231,normal
41,647801066772,0,0,252,normal
42,647880874146,0,0,331,normal
43,647943507713,0,1,260950,normal
44,648021708165,0,0,309,normal
45,648099240153,0,0,246,normal
46,648168862835,0,0,226,normal
47,648238775946,0,0,172,normal
48,648307027974,0,0,189,normal
49,648376261864,0,1,491879,normal
50,648467055108,0,1,572928,normal
51,648543791440,0,1,546249,normal
52,648616989237,0,0,257,normal
53,648700057663,0,0,302,normal
54,648781672267,0,1,496685,normal
55,648858613285,0,0,354,normal
56,648935733326,0,0,314,normal
57,649013665219,0,0,337,normal
58,649092333480,0,0,285,normal
59,649169643058,0,1,458773,normal
60,649241904523,0,1,354689,normal
61,649320527975,0,0,277,normal
62,649394858883,0,0,274,normal
63,649471369019,0,1,489776,normal
64,649545799938,0,1,491232,normal
65,649620975251,0,0,249,normal
66,649695452671,0,0,259,normal
67,649772109703,0,1,478321,normal
68,649850087281,0,0,320,normal
69,649919384131,0,0,291,normal
70,649992272195,0,1,476872,normal
71,650065204813,0,0,273,normal
72,650141928767,0,0,306,normal
73,650215752970,0,1,495231,normal
74,650287984083,0,0,320,normal
75,650363462965,0,1,448382,normal
76,650439942726,0,1,485374,normal
77,650515521871,0,0,480,normal
78,650586938392,0,0,375,normal
79,650663313976,0,1,364407,normal
80,650740580644,0,0,273,normal
81,650821692437,0,0,269,normal
82,650898278895,0,1,492456,normal
83,650977710659,0,1,593158,normal
84,651049859676,0,0,542,normal
85,651127353364,0,0,309,normal
86,651205679782,0,1,620641,normal
87,651282343159,0,0,482,normal
88,651358946001,0,1,531987,normal
89,651434376525,0,0,261,normal
90,651513715180,0,1,450423,normal
91,651586139468,0,0,230,normal
92,651666375827,0,1,664111,normal
93,651735972602,0,0,227,normal
94,651814606114,0,1,594407,normal
95,651888799705,0,1,526696,normal
96,651961908266,0,1,557829,normal
97,652034721176,0,0,375,normal
98,652113829921,0,1,525611,normal
99,652187598684,0,0,225,normal
100,652259870394,0,1,388696,normal
101,652333940723,0,1,574233,normal
102,652415001342,0,0,299,normal
103,652492167369,0,1,504937,normal
104,652574523652,0,0,349,normal
105,652652786994,0,0,250,normal
106,652731589566,0,0,240,normal
107,652805275198,0,1,599530,normal
108,652887707515,0,1,443642,normal
109,652963128799,0,1,310518,normal
110,653036984344,0,0,237,normal
111,653114744064,0,0,267,normal
112,653192635320,0,1,421234,normal
113,653267303099,0,0,217,normal
114,653347428595,0,1,474676,normal
115,653424280607,0,0,283,normal
116,653502646447,0,1,646712,normal
117,653575536954,0,1,433520,normal
118,653649939052,0,1,467774,normal
119,653722606767,0,1,424151,normal
120,653797332773,0,0,448,normal
121,653874018555,0,1,446390,normal
122,653944888447,0,0,229,normal
123,654016656729,0,0,210,normal
124,654090516470,0,0,280,normal
125,654161036453,0,1,455006,normal
126,654233619400,0,1,460582,normal
127,654307619483,0,1,373162,normal
128,654380247007,0,1,657356,normal
129,654457107264,0,1,542608,normal
130,654534802531,0,1,759571,normal
131,654607048177,0,1,400098,normal
132,654681178670,0,0,423,normal
133,654756265754,0,0,258,normal
134,654833799524,0,1,301929,normal
135,654912136062,0,0,285,normal
136,654987476048,0,0,224,normal
137,655066972355,0,0,284,normal
138,655145680022,0,0,297,normal
139,655222426549,0,1,482637,normal
140,655297614714,0,0,274,normal
141,655373808858,0,0,306,normal
142,655454421447,0,1,486617,normal
143,655522857418,0,0,194,normal
144,655594569188,0,1,462700,normal
145,655661331950,0,1,419162,normal
146,655737499625,0,0,460,normal
147,655815925946,0,0,308,normal
148,655888306484,0,1,452124,normal
149,655963652327,0,1,397117,normal
150,656033157833,0,1,491453,normal
151,656109251190,0,1,492349,normal
152,656184698932,0,0,232,normal
153,656256141296,0,0,433,normal
154,656331640639,0,0,242,normal
155,656413931490,0,0,312,normal
156,656490172867,0,1,504643,normal
157,656568450286,0,1,397222,normal
158,656650481779,0,1,427772,normal
159,656728901966,0,0,297,normal
160,656805436446,0,1,461215,normal
161,656880594097,0,0,198,normal
162,656959078279,0,0,335,normal
163,657042963561,0,0,283,normal
164,657119194695,0,1,740582,normal
165,657199495351,0,0,295,normal
166,657271945818,0,1,488857,normal
167,657350574164,0,1,405731,normal
168,657423998920,0,0,255,normal
169,657497708131,0,1,394346,normal
170,657573885743,0,1,534109,normal
171,657647290894,0,1,481272,normal
172,657718914001,0,1,504789,normal
173,657794430099,0,0,480,normal
174,657870641967,0,0,293,normal
175,657942922676,0,0,324,normal
176,658018745234,0,1,420668,normal
177,658097273980,0,0,457,normal
178,658168756432,0,1,500330,normal
179,658242982037,0,0,332,normal
180,658315299785,0,0,548,normal
181,658394294201,0,1,395288,normal
182,658470254057,0,0,495,normal
183,658551988489,0,0,340,normal
184,658630553439,0,1,363989,normal
185,658715551664,0,0,249,normal
186,658788791637,0,0,264,normal
187,658859395545,0,1,356030,normal
188,658941005112,0,1,380740,normal
189,659007974565,0,1,442873,normal
190,659106764571,0,0,286,normal
191,659184615127,0,1,673689,normal
192,659260565723,0,0,318,normal
193,659336895962,0,1,519446,normal
194,659421657203,0,1,557817,normal
195,659493922544,0,1,838760,normal
196,659571476595,0,1,290496,normal
197,659642510274,0,1,505368,normal
198,659716177748,0,0,278,normal
199,659792992636,0,1,400423,normal
200,659870348043,0,0,266,normal
