mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,800,45,1,1,390316886276,390316890303,390318774255,390319579707,390319650590,390317767234,390317777026,0,0,0,0,0
dontcache,7.2.0-flushmon,800,46,0,0,390322024127,390322028422,390324032609,390324713756,390325197763,390322912110,390322922247,0,0,0,0,0
dontcache,7.2.0-flushmon,800,47,0,0,390327580720,390327584901,390329548850,390330316660,390330937016,390328541771,390328550488,0,0,0,0,0
dontcache,7.2.0-flushmon,800,48,1,1,390333336536,390333339481,390335341575,390336138285,390336374075,390334334200,390334338526,0,0,0,0,0
dontcache,7.2.0-flushmon,800,49,0,0,390338647738,390338650484,390340650937,390341440695,390341989977,390339643873,390339646747,0,0,0,0,0
dontcache,7.2.0-flushmon,800,50,0,0,390344339382,390344340190,390346348279,390347137019,390347483855,390345358729,390345360264,0,0,0,0,0
dontcache,7.2.0-flushmon,800,51,0,0,390349852814,390349853466,390351951790,390352645351,390353154364,390350849053,390350850949,0,0,0,0,0
dontcache,7.2.0-flushmon,800,52,1,1,390355382223,390355382980,390357367923,390358162669,390358298449,390356361325,390356365281,0,0,0,0,0
dontcache,7.2.0-flushmon,800,53,1,1,390360527725,390360528306,390362539835,390363297028,390363399246,390361524381,390361527947,0,0,0,0,0
dontcache,7.2.0-flushmon,800,54,0,0,390365615589,390365616502,390367615860,390368407215,390368870355,390366610853,390366614266,0,0,0,0,0
dontcache,7.2.0-flushmon,800,55,0,0,390371257227,390371257897,390373262980,390374047413,390374503369,390372256143,390372258687,0,0,0,0,0
dontcache,7.2.0-flushmon,800,56,0,0,390376870523,390376871199,390378981754,390379664343,390380182792,390377872844,390377874652,0,0,0,0,0
dontcache,7.2.0-flushmon,800,57,0,0,390382518361,390382519375,390384528623,390385296982,390385666332,390383514857,390383517048,0,0,0,0,0
dontcache,7.2.0-flushmon,800,58,0,0,390388094537,390388095222,390390184841,390390884686,390391443867,390389042632,390389044481,0,0,0,0,0
dontcache,7.2.0-flushmon,800,59,1,1,390393874918,390393875776,390395974309,390396646549,390396679898,390394875656,390394877865,0,0,0,0,0
dontcache,7.2.0-flushmon,800,60,0,0,390398874631,390398875430,390400974073,390401674333,390402214968,390399877093,390399879584,0,0,0,0,0
dontcache,7.2.0-flushmon,800,61,0,0,390404529383,390404530044,390406541138,390407301838,390407859344,390405526405,390405528198,0,0,0,0,0
dontcache,7.2.0-flushmon,800,62,0,0,390410249539,390410250164,390412258697,390413046382,390413565657,390411249120,390411250794,0,0,0,0,0
dontcache,7.2.0-flushmon,800,63,1,0,390415942934,390415943660,390418110226,390418736224,390418859620,390416943173,390416945048,0,0,0,0,0
dontcache,7.2.0-flushmon,800,64,1,1,390421017525,390421018281,390423174204,390423814094,390423862567,390422036534,390422041593,0,0,0,0,0
dontcache,7.2.0-flushmon,800,65,1,1,390425994565,390425995201,390428016661,390428802878,390428881666,390426997137,390426999201,0,0,0,0,0
dontcache,7.2.0-flushmon,800,66,1,1,390431086157,390431086685,390433173659,390433851094,390433891197,390432047235,390432057526,0,0,0,0,0
dontcache,7.2.0-flushmon,800,67,1,1,390436106422,390436107004,390438075874,390438905348,390438948846,390437107158,390437108725,0,0,0,0,0
dontcache,7.2.0-flushmon,800,68,1,1,390441191922,390441192578,390443197390,390443989374,390444059227,390442190890,390442192423,0,0,0,0,0
dontcache,7.2.0-flushmon,800,69,1,1,390446268540,390446269265,390448274225,390449016742,390449070936,390447267785,390447269804,0,0,0,0,0
dontcache,7.2.0-flushmon,800,70,0,0,390451258498,390451259205,390453264151,390454047442,390454560230,390452257896,390452259859,0,0,0,0,0
dontcache,7.2.0-flushmon,800,71,0,0,390456954118,390456954825,390458997374,390459748232,390459987718,390457957267,390457959454,0,0,0,0,0
dontcache,7.2.0-flushmon,800,72,1,1,390462381937,390462382719,390464356714,390465153534,390465269388,390463384903,390463387190,0,0,0,0,0
dontcache,7.2.0-flushmon,800,73,0,0,390467488999,390467489755,390469493551,390470259696,390470721778,390468490696,390468493088,0,0,0,0,0
dontcache,7.2.0-flushmon,800,74,0,0,390473101300,390473101952,390475191675,390475911609,390476331408,390474048575,390474060288,0,0,0,0,0
dontcache,7.2.0-flushmon,800,75,1,1,390478656855,390478657554,390480665274,390481444159,390481506167,390479654106,390479657388,0,0,0,0,0
dontcache,7.2.0-flushmon,800,76,1,1,390483896530,390483900453,390485747789,390486533612,390486610699,390484752889,390484762728,0,0,0,0,0
dontcache,7.2.0-flushmon,800,77,0,0,390488945939,390488950484,390490825417,390491654088,390491918924,390489834510,390489845657,0,0,0,0,0
dontcache,7.2.0-flushmon,800,78,1,1,390494222152,390494226327,390496183185,390496955457,390497031527,390495153468,390495163845,0,0,0,0,0
dontcache,7.2.0-flushmon,800,79,0,0,390499487303,390499492327,390501481335,390502256365,390502664943,390500467227,390500480244,0,0,0,0,0
dontcache,7.2.0-flushmon,800,80,1,1,390505288137,390505294309,390507185742,390507922923,390508036501,390506080359,390506093562,0,0,0,0,0
dontcache,7.2.0-flushmon,800,81,0,0,390510450870,390510456882,390512412867,390513203766,390513648044,390511434947,390511448324,0,0,0,0,0
dontcache,7.2.0-flushmon,800,82,0,0,390516250474,390516256706,390518073633,390518890746,390519389756,390517100938,390517115655,0,0,0,0,0
dontcache,7.2.0-flushmon,800,83,0,0,390521978298,390521984295,390523823599,390524608893,390525097072,390522826194,390522840456,0,0,0,0,0
dontcache,7.2.0-flushmon,800,84,0,0,390527799560,390527804480,390529649121,390530432479,390530846340,390528663177,390528675702,0,0,0,0,0
dontcache,7.2.0-flushmon,800,85,0,0,390533296357,390533301835,390535085921,390535954548,390536194333,390534079586,390534092614,0,0,0,0,0
dontcache,7.2.0-flushmon,800,86,0,0,390538598298,390538604525,390540575655,390541359475,390541648517,390539576887,390539588743,0,0,0,0,0
dontcache,7.2.0-flushmon,800,87,0,0,390544436742,390544441364,390546407424,390547196416,390547716646,390545420294,390545430625,0,0,0,0,0
dontcache,7.2.0-flushmon,800,88,1,1,390550255895,390550260305,390552159519,390552969971,390553110771,390551152712,390551163628,0,0,0,0,0
