mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
reference,miss,76,205,17,222,0,1
reference,hit,76,274,488,762,0,1
reference,miss,77,232,18,250,0,1
reference,hit,77,289,494,783,0,1
reference,miss,78,202,17,219,0,1
reference,hit,78,284,496,780,0,1
reference,miss,79,212,18,230,0,1
reference,hit,79,282,481,763,0,1
reference,miss,80,203,17,220,0,1
reference,hit,80,290,490,780,0,1
reference,miss,81,225,18,243,0,1
reference,hit,81,283,567,850,0,1
reference,miss,82,204,18,222,0,1
reference,hit,82,284,511,795,0,1
reference,miss,83,223,18,241,0,1
reference,hit,83,287,483,770,0,1
reference,miss,84,207,19,226,0,1
reference,hit,84,291,502,793,0,1
reference,miss,85,219,18,237,0,1
reference,hit,85,284,478,762,0,1
reference,miss,86,202,17,219,0,1
reference,hit,86,285,489,774,0,1
reference,miss,87,219,18,237,0,1
reference,hit,87,281,506,787,0,1
reference,miss,88,209,18,227,0,1
reference,hit,88,283,495,778,0,1
reference,miss,89,221,17,238,0,1
reference,hit,89,280,485,765,0,1
reference,miss,90,205,17,222,0,1
reference,hit,90,294,513,807,0,1
reference,miss,91,219,18,237,0,1
reference,hit,91,279,488,767,0,1
reference,miss,92,202,18,220,0,1
reference,hit,92,283,509,792,0,1
reference,miss,93,224,17,241,0,1
reference,hit,93,288,487,775,0,1
reference,miss,94,204,18,222,0,1
reference,hit,94,289,512,801,0,1
reference,miss,95,222,18,240,0,1
reference,hit,95,295,490,785,0,1
reference,miss,96,202,18,220,0,1
reference,hit,96,285,503,788,0,1
reference,miss,97,216,18,234,0,1
reference,hit,97,323,649,972,0,1
reference,miss,98,207,18,225,0,1
reference,hit,98,335,705,1040,0,1
reference,miss,99,240,18,258,0,1
reference,hit,99,300,511,811,0,1
reference,miss,100,205,17,222,0,1
reference,hit,100,282,492,774,0,1
reference,miss,101,229,17,246,0,1
reference,hit,101,285,487,772,0,1
reference,miss,102,203,1247,1450,0,1
reference,hit,102,307,1355,1662,0,1
reference,miss,103,214,17,231,0,1
reference,hit,103,318,503,821,0,1
reference,miss,104,199,18,217,0,1
reference,hit,104,288,474,762,0,1
reference,miss,105,213,18,231,0,1
reference,hit,105,283,476,759,0,1
reference,miss,106,203,18,221,0,1
reference,hit,106,281,484,765,0,1
reference,miss,107,214,17,231,0,1
reference,hit,107,295,469,764,0,1
reference,miss,108,205,18,223,0,1
reference,hit,108,282,480,762,0,1
reference,miss,109,213,18,231,0,1
reference,hit,109,279,476,755,0,1
reference,miss,110,202,17,219,0,1
reference,hit,110,285,521,806,0,1
reference,miss,111,215,17,232,0,1
reference,hit,111,275,488,763,0,1
reference,miss,112,204,18,222,0,1
reference,hit,112,296,486,782,0,1
reference,miss,113,221,17,238,0,1
reference,hit,113,295,492,787,0,1
reference,miss,114,197,18,215,0,1
reference,hit,114,281,476,757,0,1
reference,miss,115,218,18,236,0,1
reference,hit,115,292,484,776,0,1
reference,miss,116,202,18,220,0,1
reference,hit,116,293,477,770,0,1
reference,miss,117,214,17,231,0,1
reference,hit,117,308,495,803,0,1
reference,miss,118,200,19,219,0,1
reference,hit,118,284,463,747,0,1
reference,miss,119,212,17,229,0,1
reference,hit,119,329,652,981,0,1
reference,miss,120,208,17,225,0,1
reference,hit,120,293,474,767,0,1
reference,miss,121,214,17,231,0,1
reference,hit,121,284,492,776,0,1
reference,miss,122,202,18,220,0,1
reference,hit,122,281,496,777,0,1
reference,miss,123,213,18,231,0,1
reference,hit,123,281,484,765,0,1
reference,miss,124,198,17,215,0,1
reference,hit,124,293,490,783,0,1
reference,miss,125,237,18,255,0,1
reference,hit,125,300,504,804,0,1
reference,miss,126,206,19,225,0,1
reference,hit,126,295,482,777,0,1
reference,miss,127,217,18,235,0,1
reference,hit,127,359,572,931,0,1
reference,miss,128,204,17,221,0,1
reference,hit,128,300,605,905,0,1
reference,miss,129,214,16,230,0,1
reference,hit,129,284,578,862,0,1
reference,miss,130,204,17,221,0,1
reference,hit,130,289,610,899,0,1
reference,miss,131,224,17,241,0,1
reference,hit,131,316,593,909,0,1
reference,miss,132,204,18,222,0,1
reference,hit,132,275,489,764,0,1
reference,miss,133,214,18,232,0,1
reference,hit,133,380,498,878,0,1
reference,miss,134,200,18,218,0,1
reference,hit,134,275,487,762,0,1
reference,miss,135,206,17,223,0,1
reference,hit,135,284,479,763,0,1
reference,miss,136,191,16,207,0,1
reference,hit,136,285,491,776,0,1
reference,miss,137,224,18,242,0,1
reference,hit,137,284,478,762,0,1
reference,miss,138,200,17,217,0,1
reference,hit,138,275,511,786,0,1
reference,miss,139,214,18,232,0,1
reference,hit,139,294,487,781,0,1
reference,miss,140,204,17,221,0,1
reference,hit,140,280,485,765,0,1
reference,miss,141,219,18,237,0,1
reference,hit,141,345,658,1003,0,1
reference,miss,142,203,17,220,0,1
reference,hit,142,286,495,781,0,1
reference,miss,143,220,18,238,0,1
reference,hit,143,298,511,809,0,1
reference,miss,144,205,18,223,0,1
reference,hit,144,292,519,811,0,1
reference,miss,145,219,19,238,0,1
