trial_id,timestamp_ns,target_page,event,duration_ns,access_policy
1,629557277831,0,0,299,normal
2,629633539519,0,1,273239,normal
3,629704628278,0,0,254,normal
4,629782937444,0,1,620211,normal
5,629854110405,0,0,274,normal
6,629926879448,0,0,266,normal
7,629999378005,0,1,568211,normal
8,630080013991,0,0,251,normal
9,630156041496,0,0,227,normal
10,630228571911,0,1,350817,normal
11,630300794684,0,0,173,normal
12,630377465005,0,0,276,normal
13,630451803566,0,0,294,normal
14,630526457987,0,1,539283,normal
15,630601938421,0,0,253,normal
16,630681641842,0,0,293,normal
17,630756289910,0,1,465478,normal
18,630840948691,0,1,572113,normal
19,630918176528,0,0,308,normal
20,630994146236,0,1,588870,normal
21,631071538426,0,0,300,normal
22,631151938276,0,0,290,normal
23,631230529426,0,1,313532,normal
24,631313197272,0,1,570232,normal
25,631389017830,0,1,574005,normal
26,631462887037,0,0,316,normal
27,631536279748,0,1,427855,normal
28,631610021967,0,1,547270,normal
29,631680377493,0,1,346250,normal
30,631758416230,0,0,311,normal
31,631833218804,0,1,301145,normal
32,631900672889,0,1,380156,normal
33,631974070895,0,1,246859,normal
34,632039785320,0,1,292884,normal
35,632118958146,0,1,482073,normal
36,632190036768,0,1,283618,normal
37,632266222800,0,0,273,normal
38,632345321535,0,0,255,normal
39,632426633614,0,1,533239,normal
40,632500312251,0,0,319,normal
41,632576647596,0,0,294,normal
42,632651211213,0,0,218,normal
43,632731235623,0,1,414636,normal
44,632813721745,0,0,278,normal
45,632889486303,0,0,238,normal
46,632963882884,0,0,262,normal
47,633042443663,0,0,192,normal
48,633118810297,0,0,229,normal
49,633199752352,0,1,243212,normal
50,633273607885,0,1,412165,normal
51,633351279460,0,1,669006,normal
52,633427329041,0,0,238,normal
53,633502897610,0,0,257,normal
54,633579899561,0,1,192807,normal
55,633659521515,0,0,253,normal
56,633734487395,0,0,245,normal
57,633804950238,0,0,198,normal
58,633884371215,0,0,224,normal
59,633961108378,0,1,365832,normal
60,634033283000,0,1,418241,normal
61,634106936412,0,0,253,normal
62,634181226075,0,0,254,normal
63,634254115142,0,1,528432,normal
64,634332519205,0,1,495481,normal
65,634410554821,0,0,288,normal
66,634487504750,0,0,298,normal
67,634563050019,0,1,319582,normal
68,634638494915,0,0,386,normal
69,634713821800,0,0,295,normal
70,634787863610,0,1,520261,normal
71,634864906926,0,0,184,normal
72,634943896529,0,0,204,normal
73,635020939905,0,1,415213,normal
74,635100897197,0,0,288,normal
75,635177130842,0,1,243250,normal
76,635261670233,0,1,379248,normal
77,635339054767,0,0,262,normal
78,635413407708,0,0,250,normal
79,635491639146,0,1,452300,normal
80,635565543711,0,0,288,normal
81,635640781358,0,0,275,normal
82,635712343052,0,1,309319,normal
83,635787902951,0,1,428238,normal
84,635862391199,0,0,291,normal
85,635933949403,0,0,272,normal
86,636005429210,0,1,338769,normal
87,636079735185,0,0,236,normal
88,636152563975,0,1,336285,normal
89,636227268753,0,0,305,normal
90,636298206818,0,1,307711,normal
91,636373761824,0,0,264,normal
92,636448777920,0,1,403209,normal
93,636524148886,0,0,310,normal
94,636602747503,0,1,436120,normal
95,636676996932,0,1,362849,normal
96,636755229107,0,1,319927,normal
97,636836585668,0,0,330,normal
98,636910258116,0,1,508337,normal
99,636989049550,0,0,311,normal
100,637066020879,0,1,508445,normal
101,637147923152,0,1,717682,normal
102,637223097656,0,0,268,normal
103,637300790813,0,1,620526,normal
104,637380731572,0,0,261,normal
105,637465958001,0,0,401,normal
106,637535423012,0,0,199,normal
107,637617776956,0,1,419718,normal
108,637687832341,0,1,370741,normal
109,637762453524,0,1,488567,normal
110,637843629450,0,0,260,normal
111,637917881521,0,0,296,normal
112,637987822519,0,1,535449,normal
113,638064094011,0,0,291,normal
114,638136125642,0,1,448828,normal
115,638207706638,0,0,252,normal
116,638280631843,0,1,421137,normal
117,638353165989,0,1,603915,normal
118,638430999214,0,1,473998,normal
119,638505570779,0,1,336700,normal
120,638582416360,0,0,264,normal
121,638660105839,0,1,640610,normal
122,638735903745,0,0,308,normal
123,638812232760,0,0,305,normal
124,638886007390,0,0,244,normal
125,638966156203,0,1,641581,normal
126,639045810043,0,1,332414,normal
127,639125603064,0,1,563139,normal
128,639203552060,0,1,640795,normal
129,639279514084,0,1,349661,normal
130,639342506497,0,1,366561,normal
131,639421089652,0,1,730519,normal
132,639496519447,0,0,224,normal
133,639569782760,0,0,268,normal
134,639644266049,0,1,494869,normal
135,639715412023,0,0,266,normal
136,639790680919,0,0,320,normal
137,639866199103,0,0,277,normal
138,639940225548,0,0,306,normal
139,640011807821,0,1,489783,normal
140,640085146679,0,0,270,normal
