trial_id,timestamp_ns,prediction
1,599476020844,0
2,599551780569,1
3,599625993171,0
4,599699496120,0
5,599775027981,0
6,599849560638,0
7,599921809540,1
8,599993948824,0
9,600067532185,1
10,600145710560,1
11,600219888141,1
12,600291079994,1
13,600360965493,1
14,600431725171,1
15,600502890890,0
16,600580760486,0
17,600655520804,1
18,600729129350,1
19,600802722433,1
20,600879418964,0
21,600956821724,1
22,601030896208,0
23,601103435044,1
24,601179543466,0
25,601255537362,0
26,601330578174,1
27,601407292094,0
28,601484645373,1
29,601558723065,1
30,601636883277,1
31,601708866436,1
32,601783333253,0
33,601860115130,1
34,601932887557,0
35,602004848681,1
36,602077871424,0
37,602157911259,0
38,602230486379,0
39,602302684865,0
40,602378553179,1
41,602454578063,0
42,602527763812,1
43,602601602291,0
44,602673624051,1
45,602748051309,1
46,602822770702,1
47,602898330664,0
48,602974171389,0
49,603051776949,1
50,603129059371,1
51,603209352277,0
52,603287880354,0
53,603364938203,1
54,603442287863,0
55,603519859881,1
56,603599509636,0
57,603676368495,0
58,603753696843,0
59,603828956270,1
60,603903176521,1
61,603974910372,0
62,604047438044,0
63,604122174699,0
64,604195850940,0
65,604269490490,0
66,604342654575,1
67,604415199319,0
68,604488915098,0
69,604561546244,1
70,604635456779,1
71,604710601836,1
72,604785573427,0
73,604861129154,1
74,604938657909,1
75,605013553312,0
76,605095369623,0
77,605174936314,1
78,605252697815,0
79,605326804205,0
80,605404242791,0
81,605482083455,0
82,605561316937,0
83,605636907402,1
84,605715587700,0
85,605796830607,0
86,605871968272,1
87,605944453003,0
88,606012489702,0
89,606082265257,1
90,606151464150,0
91,606220210323,1
92,606293959186,0
93,606370931897,0
94,606447271049,0
95,606521127153,0
96,606593441629,1
97,606664744742,1
98,606739488154,0
99,606815848043,0
100,606895852400,1
101,606977174833,1
102,607054751631,1
103,607132957680,0
104,607213173442,0
105,607291775529,1
106,607376256711,0
107,607453076075,1
108,607529747958,0
109,607600313597,1
110,607672177398,1
111,607748839866,0
112,607829518364,0
113,607901934390,1
114,607975481714,1
115,608050956978,1
116,608128864396,0
117,608201777929,1
118,608274111759,0
119,608346830843,1
120,608420437771,0
121,608491852955,0
122,608563165287,1
123,608634272233,1
124,608706759303,0
125,608782753898,1
126,608860056746,1
127,608935068145,0
128,609009054545,1
129,609086212140,0
130,609164752451,1
131,609239962444,0
132,609312927761,1
133,609388790531,1
134,609464508769,0
135,609543019868,0
136,609619407023,0
137,609693099490,0
138,609769689783,1
139,609846377071,0
140,609922608722,0
141,609994599448,0
142,610069804078,0
143,610145316402,1
144,610218351635,0
145,610289844442,1
146,610363053389,0
147,610438127843,0
148,610512071517,0
149,610585036474,1
150,610656841228,1
151,610731206122,0
152,610808204552,1
153,610886021183,1
154,610959498073,1
155,611032601565,1
156,611109510933,1
157,611184310039,1
158,611263470080,0
159,611340709588,0
160,611416109265,1
161,611490886336,1
162,611567421743,0
163,611641478720,1
164,611717256222,1
165,611795167489,0
166,611871320379,1
167,611946653260,1
168,612019351992,1
169,612092875485,0
170,612171106650,1
171,612248947388,1
172,612325635549,1
173,612397700028,1
174,612471052742,1
175,612547531148,0
176,612622483710,0
177,612696029818,1
178,612771530157,0
179,612848782512,1
180,612924743749,0
181,613003844400,1
182,613082147604,1
183,613160424035,1
184,613237296915,1
185,613313684889,1
186,613391347534,1
187,613472226478,1
188,613548901873,1
189,613623974734,1
190,613697668423,0
191,613773875786,1
192,613850088811,1
193,613924628197,1
194,613997718844,0
195,614071838764,1
196,614151910963,0
197,614228192271,0
198,614300965238,0
199,614372388619,0
200,614444497960,1
