trial_id,event_start_ns,event,error
1,174130079219,0,0
2,174136194624,1,0
3,174141318642,1,0
4,174146763301,1,0
5,174151823602,1,0
6,174156938262,1,0
7,174162070571,1,0
8,174167137041,1,0
9,174172054926,0,0
10,174177543923,0,0
11,174183129850,1,0
12,174188183095,1,0
13,174193206726,1,0
14,174198266083,0,0
15,174203814750,1,0
16,174208846376,0,0
17,174214332547,0,0
18,174219888750,1,0
19,174224867172,1,0
20,174229886975,0,0
21,174235337249,0,0
22,174240846142,0,0
23,174246216878,1,0
24,174251178706,0,0
25,174256700902,0,0
26,174262190935,0,0
27,174267793820,0,0
28,174273359514,0,0
29,174278821338,1,0
30,174283985602,1,0
31,174289016900,1,0
32,174294054535,1,0
33,174299055308,0,0
34,174304335532,1,0
35,174309479869,1,0
36,174314508090,1,0
37,174319562229,0,0
38,174325071924,0,0
39,174330745728,0,0
40,174336359555,1,0
41,174341453768,1,0
42,174346593372,0,0
43,174352066272,0,0
44,174357638720,0,0
45,174363350566,1,0
46,174368596080,0,0
47,174374176855,0,0
48,174379754637,1,0
49,174384830790,0,0
50,174390368517,0,0
51,174396174202,0,0
52,174401505023,1,0
53,174406757676,1,0
54,174411830822,0,0
55,174417532433,0,0
56,174423090218,0,0
57,174428577393,0,0
58,174434331803,0,0
59,174439944563,1,0
60,174445034527,0,0
61,174450631741,0,0
62,174456245386,0,0
63,174461763320,1,0
64,174466911185,1,0
65,174472137226,1,0
66,174477236628,1,0
67,174482311558,1,0
68,174487437465,1,0
69,174492508304,1,0
70,174497667717,0,0
71,174503043963,0,0
72,174508283460,1,0
73,174513289039,0,0
74,174518585680,0,0
75,174523931933,1,0
76,174529048880,1,0
77,174534120521,0,0
78,174539571269,1,0
79,174544689502,0,0
80,174550024879,1,0
81,174555152422,0,0
82,174560843641,0,0
83,174566306664,0,0
84,174571861147,0,0
85,174577382480,0,0
86,174582964052,0,0
87,174588249182,0,0
88,174593821828,1,0
89,174598926519,0,0
90,174604477304,1,0
91,174609617021,1,0
92,174614706470,0,0
93,174620258741,0,0
